Date,Time(seconds),Detector Id,Flow,Occupancy,Density
10/26/2015,17820,K3D20,120,0.019444445,3.240740833
10/26/2015,18000,K3D20,240,0.034444444,5.740740667
10/26/2015,18180,K3D20,140,0.02111111,3.518518333
10/26/2015,18360,K3D20,200,0.022222223,3.703703833
10/26/2015,18540,K3D20,200,0.023333333,3.888888833
10/26/2015,18720,K3D20,220,0.028333334,4.722222333
10/26/2015,18900,K3D20,220,0.028888889,4.814814833
10/26/2015,19080,K3D20,120,0.02,3.333333333
10/26/2015,19260,K3D20,140,0.016666668,2.777778
10/26/2015,19440,K3D20,180,0.025555555,4.259259167
10/26/2015,19620,K3D20,260,0.037777778,6.296296333
10/26/2015,19800,K3D20,240,0.023333333,3.888888833
10/26/2015,19980,K3D20,200,0.023333333,3.888888833
10/26/2015,20160,K3D20,280,0.033333335,5.555555833
10/26/2015,20340,K3D20,120,0.012777777,2.1296295
10/26/2015,20520,K3D20,420,0.068333335,11.38888917
10/26/2015,20700,K3D20,200,0.021666666,3.611111
10/26/2015,20880,K3D20,300,0.032777779,5.462963167
10/26/2015,21060,K3D20,300,0.035555556,5.925926
10/26/2015,21240,K3D20,320,0.029999999,4.999999833
10/26/2015,21420,K3D20,340,0.043333333,7.222222167
10/26/2015,21600,K3D20,360,0.050000001,8.3333335
10/26/2015,21780,K3D20,380,0.045555554,7.592592333
10/26/2015,21960,K3D20,480,0.057222221,9.537036833
10/26/2015,22140,K3D20,540,0.068888888,11.48148133
10/26/2015,22320,K3D20,680,0.088333331,14.72222183
10/26/2015,22500,K3D20,740,0.097222224,16.203704
10/26/2015,22680,K3D20,640,0.12444445,20.74074167
10/26/2015,22860,K3D20,580,0.076666668,12.777778
10/26/2015,23040,K3D20,480,0.06666667,11.11111167
10/26/2015,23220,K3D20,660,0.093333334,15.55555567
10/26/2015,23400,K3D20,660,0.11277778,18.79629667
10/26/2015,23580,K3D20,660,0.094999999,15.83333317
10/26/2015,23760,K3D20,760,0.11611111,19.35185167
10/26/2015,23940,K3D20,760,0.096666664,16.11111067
10/26/2015,24120,K3D20,600,0.075000003,12.5000005
10/26/2015,24300,K3D20,740,0.10222222,17.03703667
10/26/2015,24480,K3D20,800,0.10944445,18.24074167
10/26/2015,24660,K3D20,840,0.12222222,20.37037
10/26/2015,24840,K3D20,640,0.094999999,15.83333317
